,features,loss,int_rep
805,01001011101,0.5243425894371728,605
1254,01001011110,0.5542291445947303,606
804,01001011111,0.5242452195921526,607
927,01001100000,0.5309635318461297,608
615,01001100001,0.5066906705866882,609
879,01001100010,0.5287732873107154,610
579,01001100011,0.5027376291634387,611
580,01001100100,0.5028425027446701,612
278,01001100101,0.4752315922527292,613
581,01001100110,0.5029248830781109,614
283,01001100111,0.4754809797703236,615
949,01001101000,0.535438367755517,616
710,01001101001,0.5146516761184207,617
806,01001101010,0.5244189004973907,618
604,01001101011,0.5048061905879906,619
533,01001101100,0.4968023909725983,620
225,01001101101,0.470981010724805,621
540,01001101110,0.4979607603870811,622
224,01001101111,0.4709070354287428,623
1395,01001110000,0.563245706793698,624
1030,01001110001,0.5428744448708144,625
1412,01001110010,0.5647157228177415,626
1041,01001110011,0.5436181288406877,627
1285,01001110100,0.5556847547490033,628
834,01001110101,0.5272859306900686,629
1288,01001110110,0.5561375643752062,630
839,01001110111,0.5273396502887255,631
1342,01001111000,0.5593889823835952,632
966,01001111001,0.5390736482482491,633
1351,01001111010,0.560099405699079,634
976,01001111011,0.5395625455735014,635
1218,01001111100,0.5520317193295028,636
789,01001111101,0.5233064370798912,637
1220,01001111110,0.552104588360904,638
792,01001111111,0.5235116045420416,639
908,01010000000,0.5299517833189472,640
613,01010000001,0.5064422074642204,641
906,01010000010,0.5299269868514843,642
652,01010000011,0.5116071003870909,643
585,01010000100,0.503154166582425,644
344,01010000101,0.4783681498568051,645
590,01010000110,0.503488329285942,646
351,01010000111,0.4790126372232413,647
883,01010001000,0.5293135929702825,648
931,01010001001,0.5312377958065626,649
802,01010001010,0.5240884807164424,650
817,01010001011,0.5258999693308771,651
521,01010001100,0.4957184726047163,652
294,01010001101,0.4758718304539704,653
524,01010001110,0.4961295361628287,654
295,01010001111,0.475914404947848,655
1509,01010010000,0.5702933633966565,656
1098,01010010001,0.545264591740884,657
1530,01010010010,0.5725382284960722,658
1136,01010010011,0.5465169457834004,659
1471,01010010100,0.5679144060134894,660
948,01010010101,0.5351717427517672,661
1469,01010010110,0.5678852730412126,662
939,01010010111,0.5340006982965491,663
1436,01010011000,0.5660395179241182,664
991,01010011001,0.5404579578446486,665
1430,01010011010,0.5658642248021536,666
1008,01010011011,0.5413525945252643,667
1396,01010011100,0.5634437008118589,668
921,01010011101,0.5305877599309273,669
1387,01010011110,0.5622977076811337,670
885,01010011111,0.5294596587166439,671
837,01010100000,0.5273305754298439,672
541,01010100001,0.4982025378490897,673
826,01010100010,0.5266836356364741,674
561,01010100011,0.5009571382209136,675
575,01010100100,0.5024368611146446,676
290,01010100101,0.4757250470152065,677
592,01010100110,0.5036428574603999,678
318,01010100111,0.4770018196287214,679
773,01010101000,0.5192299894195511,680
746,01010101001,0.5168854333897915,681
714,01010101010,0.5148731982566045,682
656,01010101011,0.5118462415572866,683
512,01010101100,0.4943015143818273,684
221,01010101101,0.4708242021840212,685
518,01010101110,0.4952336969817514,686
244,01010101111,0.4721357815898276,687
1490,01010110000,0.5691128225643952,688
1091,01010110001,0.544940487957933,689
1499,01010110010,0.5697473021481807,690
1111,01010110011,0.5457654710621361,691
1442,01010110100,0.5662417316419717,692
959,01010110101,0.5364227438775623,693
1446,01010110110,0.5662948318767135,694
945,01010110111,0.534626138340165,695
1404,01010111000,0.5641496191584972,696
999,01010111001,0.5408427955391274,697
1409,01010111010,0.5645517224321849,698
1010,01010111011,0.5413926765985722,699
1384,01010111100,0.5619779361026085,700
928,01010111101,0.5310740554772523,701
1356,01010111110,0.5603818335053353,702
888,01010111111,0.52955118469585,703
845,01011000000,0.5274991961655068,704
624,01011000001,0.5076763761588075,705
832,01011000010,0.5271926598072718,706
617,01011000011,0.5070162857896386,707
544,01011000100,0.4984546118763653,708
302,01011000101,0.4761344343077505,709
543,01011000110,0.4984428974341597,710
285,01011000111,0.4755280934585589,711
781,01011001000,0.5218714154816861,712
692,01011001001,0.513663646845722,713
718,01011001010,0.5152138072629413,714
633,01011001011,0.5094317129842068,715
499,01011001100,0.4933502113883486,716
243,01011001101,0.4720628634847922,717
505,01011001110,0.4936706866215885,718
239,01011001111,0.4716964601241101,719
1447,01011010000,0.5663021816336207,720
1053,01011010001,0.5439585669813001,721
1459,01011010010,0.5671605017747625,722
1086,01011010011,0.5448338287690137,723
1332,01011010100,0.5586118635617492,724
868,01011010101,0.5283142737957206,725
1320,01011010110,0.5580622763173211,726
853,01011010111,0.5277502288138401,727
1380,01011011000,0.5618704989389407,728
973,01011011001,0.5395282566143658,729
1393,01011011010,0.5629826198750784,730
987,01011011011,0.5402282058386831,731
1251,01011011100,0.5541709946155694,732
808,01011011101,0.5245984098698212,733
1241,01011011110,0.5537657753449235,734
800,01011011111,0.5239135559796223,735
783,01011100000,0.5221584709937808,736
536,01011100001,0.4973370642460636,737
779,01011100010,0.5202141011591185,738
514,01011100011,0.4946425890138772,739
528,01011100100,0.4965348412929152,740
234,01011100101,0.4714246384759684,741
534,01011100110,0.4970708599328707,742
240,01011100111,0.4717757866452967,743
702,01011101000,0.5142660654448419,744
552,01011101001,0.4994355242314787,745
628,01011101010,0.5083424649028626,746
507,01011101011,0.4939832852821408,747
477,01011101100,0.491066060702583,748
176,01011101101,0.4669365778231742,749
478,01011101110,0.4911234761237005,750
172,01011101111,0.4665745198238361,751
1416,01011110000,0.5650063595631053,752
1039,01011110001,0.5434379342023998,753
1425,01011110010,0.5656304208996161,754
1056,01011110011,0.5440248022218653,755
1291,01011110100,0.5563939881558085,756
835,01011110101,0.5272917053480594,757
1287,01011110110,0.5560834734156701,758
841,01011110111,0.5273779041660819,759
1366,01011111000,0.5608928878412021,760
967,01011111001,0.5390915074843313,761
1371,01011111010,0.561350808472579,762
974,01011111011,0.5395303265725144,763
1222,01011111100,0.5521880742862597,764
796,01011111101,0.5237395357905417,765
1217,01011111110,0.5519271810022605,766
791,01011111111,0.523488445760424,767
892,01100000000,0.5296728232795319,768
646,01100000001,0.5107406005250016,769
912,01100000010,0.5301193676629128,770
654,01100000011,0.5118066836213688,771
422,01100000100,0.4852388778397348,772
300,01100000101,0.4760954486521275,773
424,01100000110,0.4855740881467039,774
332,01100000111,0.4777141100949917,775
776,01100001000,0.5195589147232994,776
815,01100001001,0.5253334369286652,777
764,01100001010,0.5178878216250632,778
780,01100001011,0.5202145548718576,779
317,01100001100,0.4769649688424793,780
261,01100001101,0.4737115667607401,781
321,01100001110,0.477185083644685,782
268,01100001111,0.4744014250229677,783
1488,01100010000,0.5689568524642749,784
1073,01100010001,0.5443643504241007,785
1517,01100010010,0.5716349108793622,786
1129,01100010011,0.5462158334543603,787
1477,01100010100,0.5683156488276875,788
950,01100010101,0.5354626103382805,789
1466,01100010110,0.5677768329549077,790
943,01100010111,0.534430496809731,791
1400,01100011000,0.5637219314602535,792
980,01100011001,0.5398795289332798,793
1419,01100011010,0.5651611360067287,794
1003,01100011011,0.5410293674848904,795
1377,01100011100,0.5616498444789817,796
922,01100011101,0.5305890461489278,797
1373,01100011110,0.5614820044626742,798
899,01100011111,0.5297372567113592,799
889,01100100000,0.5295817737860329,800
626,01100100001,0.508106670564419,801
864,01100100010,0.5282544871506862,802
619,01100100011,0.507286656270999,803
465,01100100100,0.4903394105620463,804
304,01100100101,0.4761755277832801,805
475,01100100110,0.4909305863895075,806
336,01100100111,0.4778776420844492,807
